,Date,Rain,F_Gust_Check,F_Temperature_Check,F_Humidity_Check,F_WindDir_Check,F_Pressure_Check,FrontalRain
0,1995-12-16 22:00:00,7.6,False,True,True,True,False,True
1,1996-03-13 16:35:00,8.0,False,False,False,True,False,False
2,1997-03-08 14:15:00,8.0,False,True,True,True,True,True
3,1998-02-12 13:15:00,6.0,True,True,True,True,False,True
4,1999-12-12 18:50:00,7.0,False,True,True,True,True,True
5,2000-02-08 17:10:00,7.6,False,True,True,False,True,True
6,2001-09-12 22:15:00,11.6,True,True,True,False,False,True
7,2002-03-03 14:20:00,7.8,False,True,False,False,True,False
8,2003-03-23 18:15:00,9.6,False,True,False,False,True,False
9,2004-02-26 18:55:00,10.2,False,True,True,True,True,True
10,2005-01-12 17:45:00,7.8,False,True,True,True,True,True
11,2008-12-07 14:25:00,5.4,False,True,False,True,False,False
12,2009-12-14 11:40:00,9.6,True,False,True,True,False,True
13,2010-02-16 21:10:00,8.6,False,True,True,False,False,False
14,2011-01-03 18:55:00,9.0,False,True,True,True,True,True
15,2012-12-15 15:30:00,10.0,True,True,False,True,True,True
16,2013-12-17 18:55:00,9.8,False,True,True,True,True,True
17,2014-02-21 16:35:00,8.8,False,True,True,False,True,True
18,2015-01-25 15:45:00,9.8,False,True,True,True,True,True
19,2016-11-09 17:35:00,17.2,False,True,True,True,False,True
20,2017-10-09 16:15:00,9.0,False,True,True,True,True,True
21,2018-02-07 17:35:00,8.2,False,True,False,False,True,False
22,2019-11-21 16:10:00,13.6,False,True,True,False,True,True
23,2020-02-09 18:45:00,8.4,False,True,False,True,True,True
24,2021-01-30 15:45:00,6.4,False,True,True,False,True,True
25,2023-04-29 18:05:00,6.6,False,False,False,False,False,False
